"ID","country","state","city","shape","DurationSeconds","duration (hours/min)","comments","DateTime","MeanValue_1","MeanValue_2","...12","...13"
66202,"gb",NA,"sutton (uk/england)","disk",7200,"2 hours","I have remembered this siteing every day since it equrred.The photo that someone took of the object was in the Paper.",2001-08-20,-2.933333,53.266667,NA,NA
66836,"gb",NA,"pembroke dock (uk/wales)","disk",5,"05 seconds.","Black disc shaped object flying across Pembroke Dock.",2006-10-30,-4.950833,51.691944,NA,NA
67319,"gb",NA,"zennor (cornwall) (uk/england)","disk",0,"not known","UFO over Zennor&#44 Conwall&#44 a blue coloured saucer shape captured on still photo",2004-08-24,-5.566667,50.183333,NA,NA
67740,"gb",NA,"london (uk/england)","disk",120,"1-2 mins","flying saucer over waterloo bridge  london",2005-06-20,-0.093689,51.514125,NA,NA
70391,"gb",NA,"bath (uk/england)","disk",120,"2 minutes","Bath&#44 Metallic disk/saucer&#44 2 minutes. 500 Lights On Object0: Yes",2007-10-08,-2.365556,51.379444,NA,NA
71324,"gb",NA,"wolverhampton (uk/england)","disk",12,"12seconds","A bright light shooting off at speed",2007-08-14,-2.133333,52.583333,NA,NA
72448,"gb",NA,"pontefract (uk/england)","disk",40,"40 seconds","Last night at 8.30pm I filmed a UFO with my camcorder.The footage I got was very clear.A saucer shaped object moving slowly.It was",2002-08-16,-1.3,53.683333,NA,NA
74079,"gb",NA,"benfleet (thames estuary) (uk/england)","disk",900,"15 minutes","Saucer somewhere above the Thames Estuary.",2012-10-30,0.55,51.533333,NA,NA
74185,"gb",NA,"hemel hempstead (uk/england)","disk",180,"3minutes","the craft was large&#44golden in color&#44sphere shaped &#44travelling fast........",2001-08-05,-0.466667,51.75,NA,NA
74662,"gb",NA,"london (uk/england)","disk",900,"15 minutes","A  disc shaped object that sped away at great speed after hovering over us for about 10 minutes",2008-06-12,-0.093689,51.514125,NA,NA
74779,"gb",NA,"polegate (uk/england)","disk",600,"10 minutes","objects appear most nghts when the sky is clear",2006-10-30,0.233333,50.8,NA,NA
75308,"gb",NA,"romford (essex) (uk/england)","disk",300,"5 minutes","Disc shaped green ufo.",2014-04-24,0.2,51.583333,NA,NA
